"ReachName","Assessment.Unit","Basin","Confinement_Score","Spring.Chinook.Reach","Steelhead.Reach","SPCHN Number of Life Stages","SH Number of Life Stages","SPCHNTier_Restoration","SPCHNTier_Protection","STLTier_Restoration","STLTier_Protection","HQ_Pct","HQ_Score_Restoration","HQ_Score_Protection","BankStability_score","ChannelStability_score","Stability_Mean","CoarseSubstrate_score","Cover-Wood_score","Flow-SummerBaseFlow_score","FloodplainConnectivity_score","Off-Channel/Side-Channels_score","PoolQuantity&Quality_score","Riparian-Disturbance_score","Riparian-CanopyCover_score","Riparian_Mean","Temperature-Rearing_score"
"Derby Canyon 01","Wenatchee River-Derby Canyon","Wenatchee",5,"no","yes","0","3","2","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,1
"Derby Canyon 02","Wenatchee River-Derby Canyon","Wenatchee",1,"no","yes","0","3","2","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Derby Canyon 03","Wenatchee River-Derby Canyon","Wenatchee",1,"no","yes","0","3","2","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Diamond Creek 01","Diamond Creek","Methow",5,"yes","no","2","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Doe Creek 01","Chewuch River-Doe Creek","Methow",5,"yes","yes","2","3","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Drake Creek 01","Upper Lost River","Methow",5,"yes","no","2","0","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Eagle Creek Methow 01","Eagle Creek (Methow)","Methow",5,"yes","yes","3","5","Not a Priority","Not a Priority","Not a Priority","Not a Priority",0.911111111111111,1,5,3,5,4,5,5,5,5,"5",3,5,3,4,5
"Eagle Creek Methow 02","Eagle Creek (Methow)","Methow",5,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",0.911111111111111,1,5,3,5,4,5,5,5,5,"5",3,5,3,4,5
"Eagle Creek Wenatchee 01","Eagle Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","2","3","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,3,1,2,1
"Early Winters Creek 01","Early Winters Creek","Methow",5,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"5",1,5,1,3,5
"Early Winters Creek 02","Early Winters Creek","Methow",5,"yes","yes","6","5","2","2","2","2",NA,NA,NA,NA,NA,NA,5,3,1,NA,"1",5,NA,NA,NA,5
"Early Winters Creek 03","Early Winters Creek","Methow",5,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,NA,NA,5
"Early Winters Creek 04","Early Winters Creek","Methow",5,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,NA,NA,5
"Early Winters Creek 05","Early Winters Creek","Methow",NA,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,3,NA,"NA",5,NA,NA,NA,5
"Eight Mile Creek 01","Eight Mile Creek","Methow",5,"yes","yes","3","5","2","2","2","2",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",1,3,3,3,5
"Eight Mile Creek 02","Eight Mile Creek","Methow",5,"yes","yes","4","5","2","2","2","2",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",5,3,3,3,5
"Eight Mile Creek 03","Eight Mile Creek","Methow",5,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,3,NA,"NA",5,3,1,2,5
"Eight Mile Creek 04","Eight Mile Creek","Methow",NA,"yes","yes","4","4","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,3,NA,"NA",5,NA,NA,NA,5
"Eight Mile Creek 05","Eight Mile Creek","Methow",5,"yes","yes","4","2","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,5,3,4,5
"Eight Mile Creek 06","Eight Mile Creek","Methow",5,"yes","yes","4","2","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,5,3,4,5
"Eight Mile Creek 07","Eight Mile Creek","Methow",5,"yes","yes","4","2","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,3,3,3,5
"Eight Mile Creek 08","Eight Mile Creek","Methow",5,"yes","yes","4","2","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,3,3,3,5
"Eight Mile Creek 09","Eight Mile Creek","Methow",5,"yes","yes","4","2","2","2","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,5,3,4,5
"Entiat River Lake 01","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","3","1","1","2","2",0.8,3,3,5,5,5,5,1,3,5,"3",5,5,3,4,5
"Entiat River Lake 02","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","3","1","1","2","2",0.6,5,1,1,3,2,5,1,3,1,"3",5,1,3,2,5
"Entiat River Lake 03","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","3","1","1","2","2",0.888888888888889,3,3,5,5,5,5,3,3,5,"5",5,5,3,4,5
"Entiat River Lake 04","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","3","1","1","2","2",0.711111111111111,5,3,5,5,5,5,1,3,5,"3",1,5,3,4,5
"Entiat River Lake 05","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","3","1","1","2","2",0.888888888888889,3,3,5,5,5,5,3,3,5,"5",5,5,3,4,5
"Entiat River Lake 06","Entiat River-Lake Creek","Entiat",1,"yes","yes","5","3","1","1","2","2",0.822222222222222,3,3,5,5,5,5,5,3,5,"3",3,3,3,3,5
"Entiat River Lake 07","Entiat River-Lake Creek","Entiat",1,"yes","yes","5","2","1","1","2","2",0.777777777777778,5,3,3,3,3,5,1,5,5,"3",3,5,5,5,5
"Entiat River Lake 08","Entiat River-Lake Creek","Entiat",5,"yes","yes","5","2","1","1","2","2",0.822222222222222,3,3,5,5,5,5,1,5,5,"3",3,5,5,5,5
"Entiat River Lake 09","Entiat River-Lake Creek","Entiat",5,"yes","yes","3","2","1","1","2","2",0.822222222222222,3,3,5,5,5,5,1,5,5,"3",3,5,5,5,5
"Entiat River Lake 10","Entiat River-Lake Creek","Entiat",5,"yes","yes","5","2","1","1","2","2",0.822222222222222,3,3,5,5,5,5,1,5,5,"3",3,5,5,5,5
"Entiat River Lake 11","Entiat River-Lake Creek","Entiat",5,"yes","yes","5","2","1","1","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"1",NA,5,3,4,5
"Entiat River Mills 01","Entiat River-Mills Creek","Entiat",5,"yes","yes","5","7","2","3","1","1",NA,NA,NA,3,3,3,NA,NA,1,5,"5",NA,1,1,1,1
"Entiat River Mills 02","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",0.666666666666667,5,1,5,5,5,5,3,5,3,"3",3,3,1,2,1
"Entiat River Mills 03","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",0.666666666666667,5,1,5,5,5,5,3,5,3,"3",3,3,1,2,1
"Entiat River Mills 04","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",0.666666666666667,5,1,5,5,5,5,1,5,3,"3",3,3,1,2,3
"Entiat River Mills 05","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",0.711111111111111,5,3,5,5,5,5,3,5,3,"3",3,3,1,2,3
"Entiat River Mills 06","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",0.666666666666667,5,1,5,5,5,5,3,3,3,"3",3,3,1,2,3
"Entiat River Mills 07","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",NA,NA,NA,5,5,5,5,1,5,3,"3",NA,1,1,1,3
"Entiat River Mills 08","Entiat River-Mills Creek","Entiat",5,"yes","yes","6","7","2","3","1","1",NA,NA,NA,5,5,5,5,3,5,3,"1",NA,1,1,1,3
"Entiat River Potato 01","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",NA,NA,NA,3,3,3,5,1,5,3,"1",NA,1,1,1,5
"Entiat River Potato 02","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",NA,NA,NA,3,3,3,3,1,5,3,"1",NA,3,1,2,5
"Entiat River Potato 03","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",NA,NA,NA,3,3,3,5,3,5,3,"3",NA,3,1,2,5
"Entiat River Potato 04","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",NA,NA,NA,3,3,3,3,3,5,3,"1",NA,5,1,3,5
"Entiat River Potato 05","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",0.866666666666667,3,3,5,5,5,5,3,5,5,"5",5,3,3,3,3
"Entiat River Potato 06","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",0.8,3,3,5,5,5,5,5,3,3,"3",5,5,3,4,3
"Entiat River Potato 07","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",0.688888888888889,5,1,3,3,3,5,3,3,3,"3",5,3,3,3,3
"Entiat River Potato 08","Entiat River-Potato Creek","Entiat",5,"yes","yes","7","6","1","1","1","1",0.733333333333333,5,3,3,3,3,5,5,3,3,"3",5,3,3,3,3
"Entiat River Preston 01","Entiat River-Preston Creek","Entiat",5,"yes","yes","7","6","1","1","1","2",0.644444444444444,5,1,3,3,3,5,3,3,3,"3",3,3,3,3,3
"Entiat River Preston 02","Entiat River-Preston Creek","Entiat",5,"yes","yes","7","6","1","1","1","2",0.733333333333333,5,3,3,3,3,5,5,3,3,"3",5,3,3,3,3
"Entiat River Preston 03","Entiat River-Preston Creek","Entiat",5,"yes","yes","7","6","1","1","1","2",0.688888888888889,5,1,3,5,4,5,1,3,5,"3",3,1,3,2,5
"Entiat River Preston 04","Entiat River-Preston Creek","Entiat",5,"yes","yes","7","6","1","1","1","2",0.688888888888889,5,1,5,5,5,5,1,3,5,"3",1,3,3,3,5
"Entiat River Preston 05","Entiat River-Lake Creek","Entiat",5,"yes","yes","7","6","1","1","2","2",0.8,3,3,3,5,4,5,1,3,5,"3",5,5,5,5,5
"Etienne Creek 01","Upper Peshastin Creek","Wenatchee",1,"yes","yes","4","2","2","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,1
"Etienne Creek 02","Upper Peshastin Creek","Wenatchee",1,"yes","yes","4","2","2","3","2","2",NA,NA,NA,NA,NA,NA,5,3,3,3,"1",5,NA,NA,NA,1
"Eureka Creek 01","Eureka Creek Methow","Methow",1,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Falls Creek 01","Falls Creek Methow","Methow",5,"no","yes","0","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,3,5,5,NA,"NA",1,NA,NA,NA,5
"Farewell Creek 01","Lake Creek (Methow)","Methow",5,"no","yes","0","4","2","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Fawn Creek 01","Methow River-Fawn Creek","Methow",5,"yes","yes","3","6","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,1,1,5
"Fish Creek 01","Upper Little Wenatchee River","Wenatchee",1,"yes","yes","2","2","Not a Priority","Not a Priority","Not a Priority","Not a Priority",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Fish Lake Run 01","Wenatchee River-Beaver Creek","Wenatchee",5,"yes","yes","3","3","1","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,1
"Fish Lake Run 02","Wenatchee River-Beaver Creek","Wenatchee",5,"no","yes","0","3","1","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,1
"Foggy Dew Creek 01","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Foggy Dew Creek 02","Gold Creek","Methow",1,"yes","yes","4","2","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,NA,NA,5
"Foggy Dew Creek 03","Gold Creek","Methow",1,"yes","yes","4","2","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,NA,NA,5
"Foggy Dew Creek 04","Gold Creek","Methow",1,"yes","yes","4","2","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Frazer Creek 01","Lower Beaver Creek","Methow",5,"yes","yes","1","5","2","2","2","2",NA,NA,NA,NA,NA,NA,3,3,1,NA,"NA",1,NA,NA,NA,5
"Frazer Creek 02","Lower Beaver Creek","Methow",1,"no","yes","0","2","2","2","2","2",NA,NA,NA,NA,NA,NA,3,3,1,NA,"NA",1,NA,NA,NA,5
"Frazer Creek 03","Lower Beaver Creek","Methow",5,"no","yes","0","2","2","2","2","2",NA,NA,NA,NA,NA,NA,3,3,1,NA,"NA",1,NA,NA,NA,5
"French Creek 01","Upper Icicle Creek","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"French Creek 02","French Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"French Creek 03","French Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"French Creek 04","French Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"French Creek 05","French Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"French Creek 06","French Creek (Wenatchee)","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Freund Creek 01","Chumstick Creek","Wenatchee",5,"no","yes","0","2","2","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Gate Creek 01","Lower Chiwawa River","Wenatchee",5,"yes","yes","2","3","1","1","2","2",NA,NA,NA,NA,NA,NA,3,1,5,5,"1",5,1,NA,1,5
"Gill Creek 01","Lower Nason Creek","Wenatchee",5,"yes","yes","2","5","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,NA
"Goat Creek 01","Goat Creek","Methow",5,"yes","yes","6","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,1,1,5
"Goat Creek 02","Goat Creek","Methow",5,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,3,3,5
"Goat Creek 03","Goat Creek","Methow",1,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,3,3,5
"Goat Creek 04","Goat Creek","Methow",1,"yes","no","2","0","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",1,NA,3,3,5
"Goat Creek 05","Goat Creek","Methow",1,"yes","yes","4","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,5,5,5
"Goat Creek 06","Goat Creek","Methow",1,"yes","yes","4","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,3,3,5
"Goat Creek 07","Goat Creek","Methow",1,"yes","yes","4","2","3","3","2","2",NA,NA,NA,NA,NA,NA,3,3,5,NA,"NA",1,NA,3,3,5
"Goat Creek 08","Goat Creek","Methow",1,"yes","yes","4","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",1,NA,3,3,5
"Goat Creek 09","Goat Creek","Methow",1,"yes","yes","4","2","3","3","2","2",NA,NA,NA,NA,NA,NA,5,5,5,NA,"NA",5,NA,1,1,5
"Gold Creek 01","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,1,1,1,5
"Gold Creek 02","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,5,1,3,5
"Gold Creek 03","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,5,1,3,5
"Gold Creek 04","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Gold Creek 05","Gold Creek","Methow",5,"yes","yes","6","5","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Gold Creek North Fork 01","Gold Creek","Methow",5,"yes","yes","4","2","3","2","2","1",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Gold Creek South Fork 01","South Fork Gold Creek","Methow",5,"yes","yes","4","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"1",NA,5,1,3,5
"Gold Creek South Fork 02","South Fork Gold Creek","Methow",1,"yes","yes","3","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Gold Creek South Fork 03","South Fork Gold Creek","Methow",1,"yes","yes","3","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,3,5,NA,"NA",5,NA,NA,NA,5
"Gold Creek South Fork 04","South Fork Gold Creek","Methow",1,"yes","yes","3","5","3","3","2","2",NA,NA,NA,NA,NA,NA,5,1,5,NA,"NA",5,NA,NA,NA,5
"Goose Creek 01","Lower Chiwawa River","Wenatchee",5,"yes","yes","3","5","1","1","2","2",NA,NA,NA,NA,NA,NA,3,1,5,3,"3",1,1,NA,1,1
"Hancock Creek 01","Methow River-Fawn Creek","Methow",5,"yes","yes","5","6","1","1","1","1",NA,NA,NA,NA,NA,NA,3,5,1,NA,"1",NA,1,3,2,5
"Hansel Creek 01","Lower Peshastin Creek","Wenatchee",5,"yes","yes","3","5","2","2","2","1",NA,NA,NA,NA,NA,NA,3,3,1,NA,"1",NA,NA,NA,NA,1
"Henry Creek 01","Upper Nason Creek","Wenatchee",1,"no","yes","0","3","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Hornet Creek 01","Lower Mad River","Entiat",1,"yes","yes","3","3","2","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Hornet Creek 02","Lower Mad River","Entiat",1,"no","yes","0","3","2","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,5
"Hornet Draw 01","Libby Creek","Methow",1,"no","yes","0","2","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Lower 01","Lower Icicle Creek","Wenatchee",5,"yes","yes","7","7","2","3","1","1",NA,NA,NA,3,3,3,5,NA,1,1,"1",NA,1,1,1,1
"Icicle Creek Lower 02","Lower Icicle Creek","Wenatchee",5,"yes","yes","7","7","2","3","1","1",NA,NA,NA,3,3,3,5,NA,1,1,"1",NA,1,1,1,3
"Icicle Creek Lower 03","Lower Icicle Creek","Wenatchee",5,"yes","yes","7","7","2","3","1","1",NA,NA,NA,3,3,3,NA,NA,1,3,"3",NA,1,1,1,3
"Icicle Creek Lower 04","Lower Icicle Creek","Wenatchee",5,"yes","yes","7","7","2","3","1","1",NA,NA,NA,5,1,3,NA,NA,3,5,"5",NA,1,1,1,3
"Icicle Creek Lower 05","Lower Icicle Creek","Wenatchee",5,"yes","yes","7","5","2","3","1","1",NA,NA,NA,5,5,5,NA,NA,3,5,"5",NA,5,3,4,3
"Icicle Creek Lower 06","Lower Icicle Creek","Wenatchee",1,"yes","yes","2","4","2","3","1","1",NA,NA,NA,5,5,5,NA,NA,5,5,"5",NA,3,1,2,5
"Icicle Creek Lower 07","Lower Icicle Creek","Wenatchee",5,"yes","yes","2","4","2","3","1","1",NA,NA,NA,5,5,5,NA,NA,5,5,"5",NA,5,3,4,5
"Icicle Creek Lower 08","Lower Icicle Creek","Wenatchee",5,"yes","yes","2","4","2","3","1","1",NA,NA,NA,5,5,5,NA,NA,5,5,"5",NA,5,3,4,5
"Icicle Creek Middle 01","Middle Icicle Creek","Wenatchee",1,"yes","yes","1","2","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,5,NA,5,5
"Icicle Creek Middle 02","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 03","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 04","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Middle 05","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 06","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Middle 07","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 08","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 09","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Icicle Creek Middle 10","Middle Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Middle 11","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Upper 01","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,5,5,5,"NA",1,NA,NA,NA,5
"Icicle Creek Upper 02","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Upper 03","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,5,5,1,"NA",1,NA,NA,NA,5
"Icicle Creek Upper 04","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Icicle Creek Upper 05","Upper Icicle Creek","Wenatchee",5,"yes","no","1","0","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,5
"Indian Creek 01","Tillicum Creek","Entiat",1,"yes","yes","2","3","3","3","2","3",NA,NA,NA,NA,NA,NA,3,5,3,3,"1",5,NA,NA,NA,5
"Ingalls Creek 01","Ingalls Creek","Wenatchee",5,"yes","yes","4","4","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,3,3,3,1
"Ingalls Creek 02","Ingalls Creek","Wenatchee",1,"yes","yes","4","2","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,3
"Ingalls Creek 03","Ingalls Creek","Wenatchee",1,"yes","yes","4","4","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"NA",NA,NA,NA,NA,3
"Jack Creek 01","Jack Creek","Wenatchee",5,"yes","yes","2","4","Not a Priority","Not a Priority","3","3",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"NA",NA,NA,NA,NA,1
"Johnson 16-1","Johnson Creek","Okanogan",5,"no","yes","0","6","Not a Priority","Not a Priority","1","2",0,5,1,1,1,1,3,1,0,NA,"NA",3,1,NA,1,1
"Johnson 16-2","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,1,1,1,3,1,0,NA,"NA",3,1,NA,1,1
"Johnson 16-3","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,5,5,5,3,5,0,NA,"NA",NA,1,NA,1,1
"Johnson 16-4","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,5,5,5,1,5,0,NA,"NA",1,1,NA,1,1
"Johnson 16-5","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,5,5,5,3,5,0,NA,"NA",NA,1,NA,1,1
"Johnson 16-6","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,3,3,3,3,3,0,NA,"NA",3,1,NA,1,1
"Johnson 16-7","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,3,3,3,3,3,0,NA,"NA",3,1,NA,1,1
"Johnson 16-8","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,5,5,5,3,5,0,NA,"NA",3,1,NA,1,1
"Johnson 16-9","Johnson Creek","Okanogan",5,"no","no","0","0","Not a Priority","Not a Priority","1","2",0,5,1,3,3,3,3,3,0,NA,"NA",3,1,NA,1,1
"Kahler Creek 01","Lower Nason Creek","Wenatchee",5,"yes","yes","3","3","1","1","1","1",NA,NA,NA,NA,NA,NA,5,3,1,NA,"5",NA,NA,NA,NA,1
